id,loan_amnt,int_rate,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,zip_code_prefix
36805548,10400.0,6.99,A3,8 years,MORTGAGE,58000.0,2014-12-01,Charged Off,credit_card,CA,14.92,0.0,710.0,714.0,2.0,42.0,,17.0,0.0,6133.0,31.6,36.0,6611.69,5217.75,872.67,0.0,0.0,59.0,0.0,0.0,162110.0,19400.0,7.0,9536.0,7599.0,41.5,0.0,0.0,290.0,1.0,1.0,1.0,5.0,1.0,42.0,4.0,6.0,9.0,7.0,18.0,2.0,14.0,32.0,9.0,17.0,0.0,0.0,0.0,4.0,83.3,0.0,0.0,179407.0,15030.0,13000.0,11325.0,Cash,937
37662224,7650.0,13.66,C3,< 1 year,RENT,50000.0,2014-12-01,Charged Off,debt_consolidation,AZ,34.81,0.0,685.0,689.0,1.0,,,11.0,0.0,16822.0,91.9,20.0,2281.98,704.38,339.61,0.0,0.0,,0.0,0.0,64426.0,18300.0,6.0,5857.0,332.0,93.2,0.0,0.0,148.0,8.0,8.0,0.0,17.0,3.0,,0.0,1.0,4.0,1.0,4.0,12.0,4.0,8.0,4.0,11.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,82331.0,64426.0,4900.0,64031.0,Cash,850
37822187,9600.0,13.66,C3,10+ years,RENT,69000.0,2014-12-01,Fully Paid,debt_consolidation,NJ,25.81,0.0,680.0,684.0,0.0,,,12.0,0.0,16388.0,59.4,44.0,9973.43,9600.0,373.43,0.0,0.0,,0.0,0.0,38566.0,27600.0,8.0,3214.0,6494.0,69.2,0.0,0.0,265.0,23.0,3.0,0.0,24.0,17.0,,0.0,4.0,7.0,5.0,16.0,17.0,8.0,26.0,7.0,12.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,52490.0,38566.0,21100.0,24890.0,Cash,077
37741884,2500.0,11.99,B5,< 1 year,MORTGAGE,89000.0,2014-12-01,Fully Paid,home_improvement,MN,13.77,0.0,685.0,689.0,1.0,55.0,,9.0,0.0,22908.0,94.3,32.0,2622.22,2500.0,122.22,0.0,0.0,,0.0,0.0,397223.0,24300.0,6.0,44136.0,1333.0,86.4,0.0,0.0,148.0,24.0,6.0,5.0,24.0,2.0,,0.0,3.0,4.0,3.0,6.0,17.0,4.0,10.0,4.0,9.0,0.0,0.0,0.0,1.0,96.8,0.0,0.0,415290.0,61606.0,9800.0,47946.0,Cash,554
36804663,23325.0,14.31,C4,10+ years,RENT,72000.0,2014-12-01,Charged Off,credit_card,WA,27.03,1.0,665.0,669.0,0.0,1.0,,14.0,0.0,32372.0,82.2,23.0,13907.79,7301.23,3061.64,0.0,0.0,,0.0,0.0,393558.0,39400.0,6.0,39356.0,3977.0,89.0,0.0,0.0,194.0,15.0,12.0,6.0,23.0,16.0,1.0,0.0,3.0,5.0,7.0,9.0,4.0,10.0,13.0,5.0,14.0,0.0,0.0,0.0,1.0,95.7,0.0,0.0,443889.0,79490.0,36000.0,78126.0,Cash,982
37642222,5250.0,11.44,B4,2 years,RENT,26000.0,2014-12-01,Fully Paid,debt_consolidation,MD,14.36,0.0,745.0,749.0,0.0,,,8.0,0.0,4448.0,20.2,13.0,5431.68,5250.0,181.68,0.0,0.0,,0.0,0.0,10133.0,22000.0,4.0,1267.0,12152.0,26.8,0.0,0.0,67.0,12.0,6.0,0.0,16.0,,,0.0,2.0,2.0,3.0,4.0,3.0,6.0,9.0,2.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,29971.0,10133.0,16600.0,6000.0,Cash,208
37701596,10000.0,11.99,B5,8 years,RENT,90000.0,2014-12-01,Charged Off,debt_consolidation,MI,8.44,0.0,675.0,679.0,1.0,,,5.0,0.0,23723.0,98.0,10.0,6957.45,5395.29,1562.16,0.0,0.0,,0.0,0.0,23723.0,24200.0,0.0,4745.0,324.0,98.5,0.0,0.0,124.0,40.0,31.0,0.0,42.0,3.0,,0.0,4.0,5.0,4.0,6.0,2.0,5.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,24200.0,23723.0,21200.0,0.0,Cash,483
37800722,12975.0,17.86,D5,10+ years,RENT,60000.0,2014-12-01,Charged Off,house,FL,22.42,0.0,680.0,684.0,0.0,48.0,,11.0,0.0,5200.0,33.1,19.0,5746.89,2628.14,1603.2,0.0,0.0,,0.0,900.0,17281.0,15700.0,7.0,1571.0,2604.0,52.7,0.0,0.0,122.0,2.0,2.0,0.0,6.0,1.0,,0.0,3.0,8.0,3.0,6.0,6.0,9.0,13.0,8.0,11.0,0.0,0.0,0.0,4.0,89.5,0.0,0.0,42943.0,17281.0,5500.0,27243.0,Cash,331
37682226,17000.0,13.66,C3,10+ years,MORTGAGE,75000.0,2014-12-01,Fully Paid,debt_consolidation,NY,23.63,0.0,675.0,679.0,0.0,46.0,,7.0,0.0,5063.0,46.4,31.0,19562.3100009534,17000.0,2562.31,0.0,0.0,51.0,0.0,0.0,122193.0,10900.0,2.0,17456.0,71.0,98.2,0.0,0.0,167.0,21.0,10.0,2.0,27.0,,46.0,2.0,1.0,3.0,1.0,7.0,4.0,4.0,25.0,3.0,7.0,0.0,0.0,0.0,1.0,87.1,0.0,0.0,147270.0,36205.0,4000.0,41370.0,Cash,144
37742129,6000.0,10.49,B3,10+ years,MORTGAGE,120000.0,2014-12-01,Fully Paid,home_improvement,KY,6.87,3.0,660.0,664.0,0.0,9.0,,11.0,0.0,49626.0,82.6,48.0,6839.302523314102,6000.0,839.3,0.0,0.0,,0.0,0.0,361379.0,60100.0,5.0,40153.0,1092.0,95.4,0.0,0.0,305.0,15.0,14.0,5.0,15.0,2.0,12.0,0.0,4.0,8.0,4.0,9.0,25.0,10.0,18.0,8.0,11.0,0.0,0.0,0.0,0.0,93.6,0.0,0.0,376700.0,49626.0,23600.0,0.0,Cash,403
